t,heat_flux
0.0399999991059,1.11384781576e-06
2.0399992466,4.11550790886e-05
4.03999757767,6.39588906779e-05
6.03999567032,9.79045289569e-05
8.03999423981,0.000162011361681
10.0399923325,0.000279475352727
12.0399904251,0.000491495244205
14.0399885178,0.000875037861988
16.0399875641,0.00157369393855
18.0400333405,0.00285677611828
20.0400791168,0.0052326861769
22.0401248932,0.0096612740308
24.0401706696,0.0179546717554
26.0402164459,0.0335391946137
28.0402622223,0.0628889203072
30.0403079987,0.1181884408
32.0403518677,0.222166121006
34.040397644,0.416510164738
36.0404434204,0.775542020798
38.0404891968,1.42617487907
40.0405349731,2.57289934158
42.0405807495,4.5217165947
44.0406265259,7.67820930481
46.0406723022,12.4529418945
48.0407180786,18.8144035339
50.040763855,25.1757316589
52.0408096313,28.2367630005
54.0408554077,25.0255584717
56.0409011841,18.9283294678
58.0409469604,14.9191293716
60.0409927368,12.9058656693
62.0410385132,11.4808216095
64.0410842896,10.722278595
66.0411300659,10.4840888977
68.0411758423,10.4034261703
70.0412216187,10.3110675812
72.041267395,10.5229501724
74.0413131714,10.8530263901
76.0413589478,11.2387008667
78.0414047241,11.6721611023
80.0414505005,11.9588737488
82.0414962769,12.2266454697
84.0415420532,12.5759239197
86.0415878296,12.885761261
88.041633606,12.8680915833
90.0416793823,12.8627157211
92.0417251587,12.9139318466
94.0417709351,12.8115930557
96.0418167114,12.8150558472
98.0418624878,12.7313489914
100.041908264,12.6580886841
102.041954041,12.7030506134
104.041999817,13.0639781952
106.042045593,13.1142282486
108.04209137,13.001540184
110.042137146,13.0770397186
112.042182922,13.0700206757
114.042228699,13.0325717926
116.042274475,13.4611320496
118.042320251,13.9208745956
120.042366028,14.5557231903
122.042411804,15.236084938
124.042457581,15.6593332291
126.042503357,15.8693237305
128.042541504,16.133731842
130.042205811,16.3393211365
132.041870117,16.2527599335
134.041534424,15.8959140778
136.04119873,15.8585577011
138.040863037,15.7324466705
140.040527344,15.7005596161
142.04019165,15.9019680023
144.039855957,15.8245677948
146.039520264,15.7182979584
148.03918457,15.2858638763
150.038848877,15.2330570221
152.038513184,14.9577159882
154.03817749,14.7212257385
156.037841797,14.2902927399
158.037506104,14.0570449829
160.03717041,14.074054718
162.036834717,14.14752388
164.036499023,14.0524845123
166.03616333,14.0449905396
168.035827637,14.2322807312
170.035491943,14.231754303
172.03515625,14.386387825
174.034820557,14.5255584717
176.034484863,14.8015995026
178.03414917,14.6543750763
180.033813477,14.4327659607
182.033477783,14.3725347519
184.03314209,14.240398407
186.032806396,14.1460723877
188.032470703,14.2517623901
190.03213501,14.6093549728
192.031799316,14.8254156113
194.031463623,15.1804027557
196.03112793,15.3033084869
198.030792236,15.6448497772
200.030456543,15.9836902618
202.03012085,16.1797161102
204.029785156,15.9461488724
