t,heat_flux
0.0500000007451,1.28938927446e-06
2.54999876022,4.27480481449e-05
5.05000114441,7.04954290995e-05
7.55001068115,0.000128939544084
10.0500202179,0.00025602747337
12.5500297546,0.000524278031662
15.0500392914,0.00109171611257
17.5500183105,0.00230587087572
20.0499801636,0.00493433047086
22.5499420166,0.0106781050563
25.0499038696,0.0233123898506
27.5498657227,0.0512253530324
30.0498275757,0.112982571125
32.5497894287,0.249189779162
35.0497512817,0.54632627964
37.5497131348,1.17970347404
40.0496749878,2.4794242382
42.5496368408,5.01114749908
45.0495986938,9.57329654694
47.5495605469,16.6907939911
50.0495223999,24.7576217651
52.5494842529,27.3011760712
55.049446106,20.8045692444
57.549407959,15.0035247803
60.049369812,11.9657115936
62.549331665,10.3792495728
65.049369812,9.49441432953
67.5495223999,9.29633331299
70.0496749878,9.32612419128
72.5498275757,9.5271987915
75.0499801636,9.90759181976
77.5501327515,10.0955181122
80.0502853394,10.2621955872
82.5504379272,10.6866283417
85.0505905151,11.421005249
87.550743103,12.0349969864
90.0508956909,12.7589626312
92.5510482788,13.3253965378
95.0512008667,13.7978391647
97.5513534546,14.3796272278
100.051506042,14.6718864441
102.55165863,14.6130599976
105.051811218,14.88758564
107.551963806,15.4529275894
110.052116394,15.8829994202
112.552268982,15.8698921204
115.05242157,15.8244247437
117.552574158,16.0550880432
120.052726746,16.264623642
122.552879333,16.4402732849
125.053031921,16.8972091675
127.553184509,17.1348648071
130.053329468,17.1936340332
132.553482056,17.5960903168
135.053634644,17.7893238068
137.553787231,18.3660488129
140.053939819,18.7376022339
142.554092407,18.8299407959
145.054244995,18.5281867981
147.554397583,19.008272171
150.054550171,19.1814079285
152.554702759,19.2828941345
155.054855347,19.3519687653
157.555007935,18.9859333038
160.055160522,18.5728664398
162.55531311,18.6793479919
165.055465698,19.2535705566
167.555618286,19.7815322876
170.055770874,19.3663024902
172.555923462,18.7757949829
175.05607605,17.8360214233
177.556228638,17.1446533203
180.056381226,16.5030479431
182.556533813,15.4230651855
185.056686401,14.8459835052
187.556838989,14.3261146545
190.056991577,14.1748199463
192.557144165,14.0763559341
195.057296753,14.0779571533
197.557449341,14.3804931641
200.057601929,15.0919599533
202.557754517,15.6894712448
205.057907104,15.8085870743
207.558059692,15.7869434357
210.05821228,15.7874650955
212.558364868,15.8374910355
215.058517456,16.0479698181
217.558670044,16.0500125885
220.058822632,16.1635780334
222.55897522,16.5108127594
225.059127808,16.3925971985
227.559280396,16.665687561
230.059432983,16.4659118652
232.559585571,16.3502178192
235.059738159,16.0682525635
237.559890747,15.7038497925
240.060043335,15.8393659592
242.560195923,16.0909862518
245.060348511,16.1189498901
247.560501099,16.2797393799
250.010650635,16.2797393799
250.060653687,16.2931423187
252.560653687,16.5111675262
255.060653687,16.9625110626
257.560668945,16.905462265
260.060668945,16.9052181244
262.560668945,16.8966789246
265.060699463,16.9040985107
267.560668945,17.4039459229
270.060638428,17.2455482483
272.56060791,17.070514679
275.060546875,17.1607112885
277.560516357,17.4362850189
280.06048584,17.5690040588
282.560424805,17.8516998291
285.060394287,18.2345466614
287.56036377,18.516002655
290.060333252,19.1486930847
292.560302734,19.4774169922
295.060241699,19.7298660278
297.560211182,19.7036437988
300.060180664,19.6281776428
302.560119629,19.0296096802
305.060089111,18.7750053406
307.560058594,18.3461341858
310.060028076,17.7883243561
312.559997559,17.1989040375
315.060028076,17.0695705414
317.560180664,16.9220199585
320.060333252,16.7714767456
322.56048584,16.8182983398
325.060638428,17.4181003571
327.560791016,17.4594478607
330.060943604,17.5964775085
332.561096191,17.1178779602
335.061248779,16.6343173981
337.561401367,16.3587112427
340.061553955,16.1273765564
342.561706543,16.1698112488
345.061859131,16.1222915649
347.562011719,16.1829013824
350.012145996,16.1829013824
350.062133789,16.0553073883
352.562133789,15.5208568573
355.062133789,15.1312112808
357.562164307,15.0163574219
360.062164307,15.0963430405
362.562164307,15.0401229858
365.062194824,14.8519067764
367.562164307,15.0223731995
370.062133789,14.9887962341
372.562072754,15.0067491531
375.062042236,15.2833604813
377.562011719,15.2479457855
380.061981201,14.978852272
382.561950684,15.2565803528
385.061889648,15.5634899139
387.561859131,15.6231870651
390.061828613,15.7714109421
392.561767578,16.1141681671
395.061737061,16.3750648499
397.561706543,16.046913147
400.061676025,16.0706424713
402.561645508,15.8801994324
405.061584473,15.6986761093
407.561553955,15.7501583099
410.061523438,15.760597229
412.561462402,15.4479055405
415.061523438,15.1272106171
417.561676025,14.6616773605
420.061828613,14.5782613754
422.561981201,14.6969680786
425.062133789,14.4980115891
427.562286377,14.2132778168
430.062438965,14.2463970184
432.562591553,14.1763401031
435.062744141,14.051525116
437.562896729,13.8556365967
440.063049316,14.193939209
442.563201904,14.336517334
445.063354492,14.4390258789
447.56350708,14.535153389
450.013641357,14.535153389
450.06362915,14.3543052673
452.56362915,14.5239315033
455.06362915,14.6270170212
457.563659668,14.7146339417
460.063659668,15.173822403
462.563659668,15.5862998962
465.063690186,15.4908847809
467.563659668,15.7156858444
470.06362915,15.7234010696
472.563598633,15.5401620865
475.063537598,15.4199848175
477.56350708,15.0161437988
480.063476562,14.7003116608
482.563415527,13.9416007996
485.06338501,13.6573238373
487.563354492,13.2843227386
490.063323975,13.0024795532
492.563293457,12.9423532486
495.063232422,12.7136135101
497.563201904,12.3028841019
500.063171387,12.2104873657
502.563110352,12.2436828613
505.063079834,12.4429244995
507.563049316,12.6156949997
510.063018799,12.6893129349
512.562988281,12.8244819641
515.062988281,13.055975914
517.563171387,13.2937641144
520.063293457,13.1101970673
522.563476562,12.9697303772
525.063598633,12.7897920609
527.563781738,12.5448484421
530.063903809,12.150056839
532.564086914,12.1762180328
535.064208984,12.3518562317
537.56439209,12.7453727722
540.06451416,13.1300315857
542.564697266,13.7158927917
545.064819336,13.9464130402
547.565002441,14.2432775497
550.065124512,14.3536586761
552.565307617,14.5027265549
555.065429688,14.4239082336
557.565612793,14.4456310272
560.065734863,14.5698957443
562.565917969,15.0107107162
565.066040039,15.3679504395
567.566223145,15.8164587021
570.066345215,16.3774528503
572.56652832,16.6535892487
575.066650391,17.2356834412
577.566833496,17.616727829
580.066955566,18.0620765686
582.567138672,18.5072631836
585.067260742,18.2894515991
587.567443848,17.5076751709
590.067565918,16.8145942688
592.567749023,16.273525238
595.067871094,15.5602884293
597.568054199,14.8848266602
600.06817627,14.4318904877
602.568359375,14.322385788
605.068481445,14.3833065033
607.568664551,14.6509513855
610.068786621,14.6552648544
612.568969727,14.7260723114
615.069091797,15.0188465118
617.569274902,15.2812948227
620.069396973,15.7135095596
622.569580078,16.2806129456
625.069702148,17.105266571
627.569885254,17.9531288147
630.070007324,18.6941757202
632.57019043,18.8630752563
635.0703125,18.8273620605
637.570495605,19.0442371368
640.070617676,19.6022796631
642.570800781,19.6357421875
645.070922852,19.1596221924
647.571105957,18.7781105042
650.071228027,18.6413078308
652.571411133,18.5409450531
655.071533203,18.6328315735
657.571716309,18.8320102692
660.071838379,19.0335140228
662.572021484,19.4398269653
665.072143555,20.0018959045
667.57232666,20.9702453613
670.07244873,21.6084861755
672.572631836,21.599521637
675.072753906,21.9286346436
677.572937012,21.9192581177
680.073059082,22.3105964661
682.573242188,22.210899353
685.073364258,21.7453269958
687.573547363,21.5170593262
690.073669434,20.669303894
692.573852539,19.6135902405
695.073974609,19.2822608948
697.574157715,18.8662204742
700.024291992,18.8662204742
700.074279785,18.4930896759
702.574279785,18.1295700073
705.074279785,18.0593185425
707.574279785,18.1786117554
710.07434082,18.407283783
712.57434082,18.4047698975
715.07434082,18.2106895447
717.57434082,17.7380867004
720.074279785,17.5978126526
722.57421875,16.9380264282
725.07421875,16.0059089661
727.574157715,15.1880741119
730.07409668,14.6692323685
732.57409668,14.4336776733
735.074035645,14.053571701
737.573974609,13.905134201
740.073974609,13.9706983566
742.573913574,13.8986949921
745.073913574,13.658411026
747.573852539,13.3045272827
750.073791504,13.0615406036
752.573791504,13.0693063736
755.073730469,13.1650276184
757.573730469,13.0892505646
760.073669434,13.4347362518
762.573608398,13.8562908173
765.073669434,14.1385688782
767.573791504,14.1355419159
770.073974609,13.9923057556
772.57409668,14.105298996
775.074279785,14.2292890549
777.574401855,14.3857717514
780.074584961,14.3647813797
782.574707031,14.393075943
785.074890137,14.4676856995
787.575012207,14.3033790588
790.075195312,14.3997774124
792.575317383,14.3847694397
795.075500488,14.010181427
797.575622559,13.7533111572
800.075805664,13.8155078888
802.575927734,13.6602878571
805.07611084,13.8306217194
807.57623291,14.1024932861
810.076416016,14.5147476196
812.576538086,14.7465648651
815.076721191,15.0495510101
817.576843262,15.0063886642
820.077026367,15.0389995575
822.577148438,15.2045783997
825.077331543,15.556640625
827.577453613,16.0993232727
830.077636719,16.6054992676
832.577758789,17.3961219788
835.077941895,18.3909759521
837.578063965,19.2141990662
840.07824707,19.8303127289
842.578369141,19.7361717224
845.078552246,18.7812099457
847.578674316,18.0259571075
850.078857422,17.4294700623
852.578979492,17.0863056183
855.079162598,16.5421676636
857.579284668,16.2529945374
860.079467773,15.7199840546
862.579589844,15.3065948486
865.079772949,14.5508384705
867.57989502,14.182806015
870.080078125,14.3954677582
872.580200195,14.0177745819
875.080383301,13.9651947021
